Sujet	Bloc	Stim	Hits	FA	Miss	RC	RT	Diss	m_ppo	m_td	m_iti	t_pi	t_ra	t_td	m_density	Uncertainty
1	1	mask_ppo_96_td_002_iti_15_target_fq_2924_td_01_r_1	1	0	0	0	4014.0	80.0	96.0	0.02	1500.0	2924.0	1.0	0.1	27.0	695.0
1	2	mask_ppo_128_iti_03_td_002	0	0	0	1	0.0		128.0	0.02	300.0				46.0	678.0
1	2	mask_ppo_128_iti_03_td_002	0	0	0	1	0.0		128.0	0.02	300.0				46.0	678.0
1	2	mask_ppo_128_iti_07_td_002	0	0	0	1	0.0		128.0	0.02	700.0				40.0	819.0
1	2	mask_ppo_128_iti_11_td_002	0	0	0	1	0.0		128.0	0.02	1100.0				37.0	884.0
1	2	mask_ppo_128_iti_15_td_002	0	0	0	1	0.0		128.0	0.02	1500.0				36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_1000_td_006_r_1	1	0	0	0	3916.0	40.0	128.0	0.02	1500.0	1000.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_1000_td_006_r_1	0	0	1	0	0.0	40.0	128.0	0.02	1500.0	1000.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_1430_td_006_r_1	1	0	0	0	2793.0	40.0	128.0	0.02	1500.0	1430.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_1430_td_006_r_1	1	0	0	0	2856.0	40.0	128.0	0.02	1500.0	1430.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_2045_td_006_r_1	1	0	0	0	1880.0	40.0	128.0	0.02	1500.0	2045.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_2045_td_006_r_1	1	0	0	0	3228.0	40.0	128.0	0.02	1500.0	2045.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_2924_td_006_r_1	1	0	0	0	2988.0	40.0	128.0	0.02	1500.0	2924.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_2924_td_006_r_1	1	0	0	0	5811.0	40.0	128.0	0.02	1500.0	2924.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_699_td_006_r_1	0	0	1	0	0.0	40.0	128.0	0.02	1500.0	699.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_128_td_002_iti_15_target_fq_699_td_006_r_1	0	0	1	0	0.0	40.0	128.0	0.02	1500.0	699.0	1.0	0.06	36.0	927.0
1	2	mask_ppo_32_iti_03_td_002	0	0	0	1	0.0		32.0	0.02	300.0				11.0	169.0
1	2	mask_ppo_32_iti_03_td_002	0	0	0	1	0.0		32.0	0.02	300.0				11.0	169.0
1	2	mask_ppo_32_iti_07_td_002	0	0	0	1	0.0		32.0	0.02	700.0				10.0	205.0
1	2	mask_ppo_32_iti_11_td_002	0	0	0	1	0.0		32.0	0.02	1100.0				9.0	221.0
1	2	mask_ppo_32_iti_15_td_002	0	0	0	1	0.0		32.0	0.02	1500.0				9.0	232.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_1000_td_006_r_1	1	0	0	0	2002.0	40.0	32.0	0.02	300.0	1000.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_1000_td_006_r_1	1	0	0	0	4915.0	40.0	32.0	0.02	300.0	1000.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_1430_td_006_r_1	1	0	0	0	2863.0	40.0	32.0	0.02	300.0	1430.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_1430_td_006_r_1	1	0	0	0	1931.0	40.0	32.0	0.02	300.0	1430.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_2045_td_006_r_1	1	0	0	0	1897.0	40.0	32.0	0.02	300.0	2045.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_2045_td_006_r_1	1	0	0	0	2046.0	40.0	32.0	0.02	300.0	2045.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_2924_td_006_r_1	1	0	0	0	1760.0	40.0	32.0	0.02	300.0	2924.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_2924_td_006_r_1	1	0	0	0	2117.0	40.0	32.0	0.02	300.0	2924.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_699_td_006_r_1	0	0	1	0	0.0	40.0	32.0	0.02	300.0	699.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_32_td_002_iti_03_target_fq_699_td_006_r_1	0	0	1	0	0.0	40.0	32.0	0.02	300.0	699.0	1.0	0.06	11.0	169.0
1	2	mask_ppo_64_iti_03_td_002	0	0	0	1	0.0		64.0	0.02	300.0				23.0	339.0
1	2	mask_ppo_64_iti_03_td_002	0	0	0	1	0.0		64.0	0.02	300.0				23.0	339.0
1	2	mask_ppo_64_iti_07_td_002	0	0	0	1	0.0		64.0	0.02	700.0				20.0	409.0
1	2	mask_ppo_64_iti_11_td_002	0	0	0	1	0.0		64.0	0.02	1100.0				19.0	442.0
1	2	mask_ppo_64_iti_15_td_002	0	0	0	1	0.0		64.0	0.02	1500.0				18.0	464.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_1000_td_006_r_1	1	0	0	0	5184.0	40.0	64.0	0.02	700.0	1000.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_1000_td_006_r_1	1	0	0	0	2973.0	40.0	64.0	0.02	700.0	1000.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_1430_td_006_r_1	1	0	0	0	4085.0	40.0	64.0	0.02	700.0	1430.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_1430_td_006_r_1	1	0	0	0	4034.0	40.0	64.0	0.02	700.0	1430.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_2045_td_006_r_1	1	0	0	0	6178.0	40.0	64.0	0.02	700.0	2045.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_2045_td_006_r_1	1	0	0	0	2850.0	40.0	64.0	0.02	700.0	2045.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_2924_td_006_r_1	1	0	0	0	2056.0	40.0	64.0	0.02	700.0	2924.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_2924_td_006_r_1	1	0	0	0	1896.0	40.0	64.0	0.02	700.0	2924.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_699_td_006_r_1	0	0	1	0	0.0	40.0	64.0	0.02	700.0	699.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_64_td_002_iti_07_target_fq_699_td_006_r_1	1	0	0	0	6526.0	40.0	64.0	0.02	700.0	699.0	1.0	0.06	20.0	409.0
1	2	mask_ppo_96_iti_03_td_002	0	0	0	1	0.0		96.0	0.02	300.0				34.0	508.0
1	2	mask_ppo_96_iti_03_td_002	0	0	0	1	0.0		96.0	0.02	300.0				34.0	508.0
1	2	mask_ppo_96_iti_07_td_002	0	0	0	1	0.0		96.0	0.02	700.0				30.0	614.0
1	2	mask_ppo_96_iti_11_td_002	0	0	0	1	0.0		96.0	0.02	1100.0				28.0	663.0
1	2	mask_ppo_96_iti_15_td_002	0	0	0	1	0.0		96.0	0.02	1500.0				27.0	695.0
